corporation	stock
9a99e8ee-e58e-645a-3fb6-6834b041616f	bb5351a8-dd6d-c320-708b-f92a62ed4a23
cff2bd81-2a0a-ba6e-adb5-022164b26a35	aca06733-7449-d4bc-e96d-dc3cc27bb68d
daa7f249-f5cf-3063-2696-175b8346b226	b555240a-361b-efe9-de28-f7bcecd75979
7818fba2-a899-383b-75ed-d7469c643605	7e878b8a-2fd8-fd43-4cb3-63e337c05032
1ab020c8-6e44-40ba-1901-395897e25825	67d8b1b1-aefc-8786-5287-7be5802f0816
662ea27b-8005-c0f6-6d0c-ad7433bfdf2a	7556c8c1-a1cb-e092-fc1f-f7518072504d
336900f0-ef8a-c897-aefb-7fa4a5794854	80451d0c-cb49-b9e4-a804-b1eb86308013
82387a93-4873-957b-53eb-8648877379c5	32c4ba82-ced5-e9b5-c323-8de9f5db2fa5
4a521c5a-41c2-6d2f-bd9e-1612be524d36	70dea6bc-a741-c1ee-81a8-01963bdddcdc
77dc44b5-9fa0-b330-1ddd-771495d015f5	2afc6f2a-5f42-fddf-0661-ffce87ddb0bd
4ddf6988-9ab6-05f6-5bce-93ee4a7ab95f	a27fa8bd-6881-3648-8484-1867f2bfab7d
e61daaff-0f96-d0f2-f9f1-31917f32f8df	b8071eb5-ade5-eed1-55ec-c15b22d8e2a2
bf3d199f-84cf-f164-53c9-5e3abb1709f0	4cb0b842-b7d6-3ba8-9d44-03aff3a6baf6
f0e954a8-f0e7-4925-015b-dfdbf1297fe0	45566023-9798-f034-16dd-2d69b9fbf4d9
7d38548e-69be-98ba-02a4-f0847ab1356f	53968309-deb0-34c0-0902-9a96ecb08c5d
43700e4f-7b96-5fec-bd90-ce0eef6a51cb	7e0b6cae-c0cb-a6b8-c153-50457d2bb6ca
e8393be7-fe2e-8ec1-d204-24f0f209326e	3cf3f3e4-b2e3-f051-8403-924280aae043
e38906e2-5599-9741-5933-c4976a969bc7	3217a72a-051c-b92f-95d2-4520efa6e37a
a750089a-05c6-2dfa-2b21-b24e67a0cc07	dcf9484d-593b-2975-1736-bc9d558b595c
da3c9f05-ceea-346b-5d7a-8c57f0fbdb50	049c3ee4-81b7-4763-782a-69599822e48b
4a8fb62f-2d1f-4d55-3e2a-2dd3336631a7	be3d2188-006d-af67-5376-5fa844d52c21
371ecf1a-1f16-9f37-0def-532644a19734	d469fb34-b221-3e51-4609-68fcbb014279
0f0091d6-21e4-56cd-bc46-09a2d67a1901	6e93d905-012a-3c78-1aa3-1a97cf2e7764
5290f40f-16ef-a217-4cbe-a8d147be9797	667c77ee-75df-9457-0968-d3ca486cabbd
71f5bcde-9936-b36d-1c4f-3fb8ecd2dcc7	342081dd-bb66-d56d-d490-1b21b9fe17fa
89acd4d0-26dc-1f77-c8b5-5792c41f6b05	909dc511-94df-63b5-ecf9-79004d100a3f
c2399ece-6e91-c078-6304-7ee368c16654	093ad6d1-1893-33ef-fd53-37bbf4ee0d7c
e09e7d38-b62f-5dfb-43ef-d74f14144314	be04705b-e23e-bbcd-bae8-14cac6baceb9
d8dbd864-9f94-53d7-9e24-e30777c0cc24	76e19919-7295-4e28-a166-4e1fe069aee3
8130db67-284d-c151-5766-0cce47572aaa	21ccf1a5-89e0-fcfa-4e02-c2e32f1a129f
5137ca7d-8672-8c05-74d0-4809e895cb12	4b356c5b-88b7-3047-f9f2-6cd18a82fc20
3ba587c4-7c47-8fc6-2775-49f2e0045df7	195a2cfc-e821-1459-8b91-81e66dbb2cf2
195ae5ad-4df5-37bd-6725-5a93f874da5b	01904c78-2877-12b8-73da-eec5bff5c84a
4c6201ef-ef57-3f8b-5e32-22311ee090d1	31c816d0-bd29-20e0-fdb7-06a772e96e14
caac7500-0a7a-f779-5383-6f3fc2c3333a	aa4a73c8-d7c0-072e-759c-41e1ea952d3d
89a7ca23-14fa-c446-241c-86585ee2c46c	53d4f966-5c8b-9743-3d95-7f6f4497fb0f
72df882a-ad39-f98d-9b6d-d0b04e560d1d	346bbc88-0c9a-0915-dbd3-0d4ec4ec057c
12ea8e56-d5b7-2b02-0514-895c74feea36	47138e7f-a34c-a409-632b-b43cd4e01d76
743c7637-50f5-2e6e-dafd-03a3dbd33c3f	382164e1-b298-aab1-9b76-9a1d147c99e8
c5e3baf4-956f-c0bc-42e8-e148fd171eeb	ed51a06d-0c02-2141-3ac6-4ac8af9c8777
96b86ca7-3650-2eef-2645-c652c877b5d7	85d1d7e9-8b1c-74b7-77fd-8b5937ab6fd7
58d798ff-47c7-982b-4023-c0a7d1f459c7	a9fed900-d5c9-f13b-537a-e7a1ddd4f5ff
3501a598-9bbe-7e44-8ec1-669c27e28c26	3be143a4-2b57-b8a7-03bb-4befa4e0864b
1539b793-db29-b04b-177e-4629987e85c3	95651471-0525-f3fc-de73-46aef2801671
c49d5e1d-163a-2f01-2f93-b788b1dd9dd5	24e2c049-42cd-e59f-9718-be9aea9d6800
5ff250dc-9980-efb6-e4ed-5a8b144e88c5	39fe816d-a906-d690-144e-54a179e5d78e
9fcb1680-3568-3ff4-a76e-22754dd8b5c7	d1f3de5f-a0a7-a4b4-bbb0-b67a5e6b3de2
b22c9910-eeb2-242f-d9a0-ca7db59bf0a1	bd0af412-8e46-c0b1-c92c-62a738ad124c
67c54f15-5aea-5e02-1e76-3cddab73f977	801caaa0-8dc5-ee96-a546-46e0b73dba66
adc4f038-155f-ce9f-4e6e-2af1313c5e61	b02ec28e-70be-bcfe-9bc1-714b69a59adb
8240200b-f039-ca6c-2c6e-d408bde71e23	dc596c1b-9022-791b-f01a-1add5c7dacb9
782cff24-18ca-1a18-e31a-854413f5b13e	62fcb56f-d713-3343-3abb-17d6db1839dc
e390c48c-68e6-7345-3352-5123e469762f	a07bad4e-c88e-e3ca-3645-bd308c86ad2f
effb7a0e-98d8-0584-c169-ca506573be1d	43e34967-35f9-50a1-c767-ff54cb6057e5
a9b3c5a4-8aa5-3ed8-cf83-ee661ad815b8	a3d25ff4-0fab-2a26-a919-280cfc716091
aa832917-fbea-cbd6-0ed8-c097fbd988a2	dd22b0fc-b38a-193c-aec2-058c81d4e000
5867f7a2-f6c2-3419-da87-7dd1c56594fc	fce2229e-d2cf-1f21-c748-5870bfd1632c
63fe8209-cd8e-3388-85cc-ba81d92fa1d6	e4dd306c-acc4-8f79-054a-3f9b0eca6818
d8c64faa-fca7-5352-9310-f909f3cdc777	63076a29-3c3a-4114-5d19-2420ab2c7ead
50480540-3d0b-a6b6-4a55-e7af7a4fcc0c	53b2c1f0-bc25-1aed-db9a-c03a683de66a
de37d18d-f794-8521-5356-b2863a0532e6	127d1a61-f8bb-fcf1-c97b-418f2b3e2aec
6d353bb4-773a-7f6b-8b7a-99bc52e81cc2	6b12ff39-d945-7401-0cf2-0d8e1736540f
64b893ed-3965-2575-aa7b-a1ea77dc9686	1c5f5181-aa3d-8994-52ee-19807e66630c
063d0941-498f-e976-4f9a-abd8fcfc623c	c5a623be-55a3-d616-bdfc-301664e56e04
